index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
4,12,apple,cupertino,CA,US,NA,NA,software engineer,Software,NA,4,3,110000,5000,7000,150000,NA,3/21/16 13:02,157655,69223,0.6948889,0.3051111
33,77,intel,"hillsboro, oregon",OR,US,45.52,-122.85,product development engineer,Software,NA,2.5,2.5,82000,NA,NA,NA,NA,3/21/16 13:11,120744,41259,0.7453195,0.2546805
47,112,linkedin,"san jose, ca",CA,US,37.38,-121.89,site reliability engineer,Engineering,NA,4,1,140000,NA,14000,43750,NA,3/21/16 13:13,11719,7870,0.5982439,0.4017561
70,159,apple,sunnyvale,CA,US,NA,NA,senior software engineer,Software,Senior,10,2,151000,20000,40000,10000,NA,3/21/16 13:17,157655,69223,0.6948889,0.3051111
77,176,linkedin,1,CA,US,NA,NA,senior web developer,Web,Senior,10,4,165000,NA,15000,50000,NA,3/21/16 13:19,11719,7870,0.5982439,0.4017561
85,191,apple,95014,CA,US,37.3,-122.09,senior system engineer,Engineering,Senior,9,1,130000,20000,NA,40000,NA,3/21/16 13:21,157655,69223,0.6948889,0.3051111
89,211,intel,"hillsboro, oregon",OR,US,45.52,-122.85,computer hardware engineer,Engineering,NA,1.5,1.5,72000,0,0,0,NA,3/21/16 13:23,120744,41259,0.7453195,0.2546805
90,212,google,mountain view,CA,US,NA,NA,senior software engineer,Software,Senior,15,5,178000,15000,50000,100000,Love every day of my job,3/21/16 13:23,93760,38431,0.7092767,0.2907233
105,245,facebook,seattle,WA,US,NA,NA,software engineer,Software,NA,6,4,225000,50000,45000,200000,NA,3/21/16 13:24,21269,9659,0.687694,0.312306
113,262,salesforce,"seattle, wa",WA,US,47.61,-122.33,senior software engineer,Software,Senior,NA,2,125000,NA,18000,NA,NA,3/21/16 13:26,28212,13189,0.6814328,0.3185672
116,267,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,3,1,150000,50000,15000,100000,NA,3/21/16 13:26,21269,9659,0.687694,0.312306
128,297,google,mountain view,CA,US,NA,NA,software engineer ii,Software,2,2,2,131000,15000,20000,50000,NA,3/21/16 13:28,93760,38431,0.7092767,0.2907233
129,301,apple,cupertino,CA,US,NA,NA,data engineer/software engineer,Data,NA,6,2.5,145000,25000,20,100k $ annually,NA,3/21/16 13:28,157655,69223,0.6948889,0.3051111
137,319,twitter,sf,CA,US,NA,NA,senior software engineer,Software,Senior,8,1,170000,0,0,35000,NA,3/21/16 13:29,6058,3179,0.6558406,0.3441594
175,405,cisco,canada,NA,CA,60,-95,software engineer,Software,NA,15,3,110000,0,14000,20000,NA,3/21/16 13:35,82251,29115,0.7385647,0.2614353
186,429,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,4,1,130000,20000,20000,"40,000","negotiated from 0 signing bonus to 20k, and from 160 GSUs to 200",3/21/16 13:36,93760,38431,0.7092767,0.2907233
188,433,facebook,menlo park,CA,US,NA,NA,data scientist,Data,NA,4,4,206000,50000,50000,100000,NA,3/21/16 13:36,21269,9659,0.687694,0.312306
196,447,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,3,1,152000,22000,15000,80000,NA,3/21/16 13:37,21269,9659,0.687694,0.312306
199,453,google,london,NA,UK,NA,NA,web solutions engineer,Web,NA,8,4,88000,0,15000,35000,WSE is not a SWE,3/21/16 13:38,93760,38431,0.7092767,0.2907233
203,464,google,mountain view,CA,US,NA,NA,analyst,Data,NA,7,4,101000,7500,15000,50000,NA,3/21/16 13:38,93760,38431,0.7092767,0.2907233
206,469,cisco,boston,MA,US,NA,NA,architect,Other,NA,15,6,162000,NA,48000,10000,NA,3/21/16 13:39,82251,29115,0.7385647,0.2614353
207,470,facebook,menlo park,CA,US,NA,NA,software engineering intern,Software,Intern,1,0,96000,0,0,0,NA,3/21/16 13:39,21269,9659,0.687694,0.312306
213,480,facebook,"seattle, wa usa",WA,US,47.61,-122.33,software engineer,Software,NA,7,3,167000,25000,25000,"Signing grant: 9,600 RSUs (250k) vesting over 4 years (25% at year 1, 1/36 every quarter after), currently worth $1m due to stock price, $50k-100k in refreshers on same vesting schedule each year thereafter","Strict 40 hr / wk. 8 months parental leave taken. Always ""meets"" or ""exceeds"" performance rating.",3/21/16 13:39,21269,9659,0.687694,0.312306
224,499,intel,"santa clara, ca",CA,US,37.34,-121.95,senior software engineer,Software,Senior,12,4,145000,0,30000,NA,NA,3/21/16 13:40,120744,41259,0.7453195,0.2546805
236,522,uber,san francisco,CA,US,NA,NA,software engineer,Software,NA,1.5,1.5,137000,0,NA,192000,NA,3/21/16 13:42,8298,3472,0.7050127,0.2949873
243,534,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,5,2,140000,30000,50000,50000,NA,3/21/16 13:42,93760,38431,0.7092767,0.2907233
254,552,airbnb,san francisco,CA,US,NA,NA,software engineer,Software,NA,3,1.5,118000,0,0,40000,New Grad,3/21/16 13:44,2943,2292,0.5621777,0.4378223
255,555,apple,austin,TX,US,NA,NA,sr. developer,Software,Senior,15,3,101000,NA,7000,25000,NA,3/21/16 13:44,157655,69223,0.6948889,0.3051111
257,558,salesforce,san francisco,CA,US,NA,NA,lead member of technical staff,Other,NA,5,0,190000,15000,30000,37000,NA,3/21/16 13:44,28212,13189,0.6814328,0.3185672
272,584,adobe,san francisco,CA,US,NA,NA,web developer,Web,NA,4,1,155000,5000,NA,12000,NA,3/21/16 13:45,14244,6661,0.6813681,0.3186319
